Type	AISC_Manual_Label	A(cm2)	Ix(cm4)	Iy(cm4)	depth(cm)
W	W360X79	10100	22500	240	35.3                         
W	W360X72	9100	20100	214	35.1                          
W	W360X64	8130	17800	188	34.8                          
W	W360X57.8	7230	16000	111	35.8                        
W	W360X51	6450	14200	97	35.6                           
W	W360X44	5710	12100	81.6	35.1                         
W	W360X39	4960	10200	37.1	35.3                         
W	W360X32.9	4190	8280	29.1	34.8                        
W	W310X500	63800	169000	4950	42.7                      
W	W310X454	57700	148000	4370	41.4                      
W	W310X415	52800	129000	3900	40.4                      
W	W310X375	47800	113000	3450	39.1                      
W	W310X342	43700	101000	3090	38.4                      
W	W310X313	39900	89100	2760	37.3                       
W	W310X283	36100	78700	2450	36.6                       
W	W310X253	32300	68700	2150	35.6                       
W	W310X226	28800	59500	1890	34.8                       
W	W310X202	25700	51600	1660	34                         
W	W310X179	22700	44500	1440	33.3                       
W	W310X158	20100	38800	1250	32.8                       
W	W310X143	18200	34700	1120	32.3                       
W	W310X129	16500	30800	1000	31.8                       
W	W310X117	15000	27600	899	31.5                        
W	W310X107	13600	24800	812	31.2                        
W	W310X97	12300	22200	724	30.7                         
W	W310X86	11000	19800	445	31                           
W	W310X79	10100	17700	399	30.7                         
W	W310X74	9420	16300	234	31                            
W	W310X67	8450	14500	208	30.7                          
W	W310X60	7550	12800	184	30.2                          
W	W310X52	6650	11900	102	31.8                          
W	W310X44.5	5670	9910	84.5	31.2                        
W	W310X38.7	4940	8490	72	31                            
W	W310X32.7	4180	6490	19.4	31.2                        
W	W310X28.3	3590	5410	15.7	31                          
W	W310X23.8	3040	4290	11.7	30.5                        
W	W310X21	2680	3690	9.82	30.2                          
W	W250X167	21200	29800	982	29                          
W	W250X149	18900	25900	862	28.2                        
W	W250X131	16800	22200	745	27.4                        
W	W250X115	14600	18900	641	26.9                        
W	W250X101	12800	16400	558	26.4                        
W	W250X89	11400	14200	483	25.9                         
W	W250X80	10200	12600	429	25.7                         
W	W250X73	9290	11300	389	25.4                          
W	W250X67	8580	10300	222	25.7                          
W	W250X58	7420	8700	187	25.2                           
W	W250X49.1	6260	7120	152	24.7                         
W	W250X44.8	5700	7080	69.5	26.7                        
W	W250X38.5	4910	5990	58.7	26.2                        
W	W250X32.7	4190	4910	47.5	25.9                        
W	W250X28.4	3630	4010	17.9	25.9                        
W	W250X25.3	3220	3410	14.8	25.7                        
W	W250X22.3	2850	2870	12	25.4                          
W	W250X17.9	2280	2240	9.07	25.1                        
W	W200X100	12700	11300	369	22.9                        
W	W200X86	11000	9490	313	22.2                          
W	W200X71	9100	7660	253	21.6                           
W	W200X59	7550	6080	204	21                             
W	W200X52	6650	5290	177	20.6                           
W	W200X46.1	5890	4580	154	20.3                         
W	W200X41.7	5320	4080	90.3	20.5                        
W	W200X35.9	4570	3440	76.2	20.1                        
W	W200X31.3	3970	3130	40.7	21                          
W	W200X26.6	3390	2580	33.2	20.7                        
W	W200X22.5	2860	2000	14.2	20.6                        
W	W200X19.3	2480	1650	11.4	20.3                        
W	W200X15	1910	1280	8.7	20                             
W	W150X37.1	4740	2220	71.2	16.2                        
W	W150X29.8	3790	1720	55.4	15.7                        
W	W150X22.5	2860	1210	38.8	15.2                        
W	W150X24	3060	1340	18.4	16                            
W	W150X18	2290	920	12.4	15.3                           
W	W150X13.5	1730	683	9.16	15                           
W	W150X13	1630	620	8.28	14.8                           
W	W130X28.1	3590	1090	38	13.1                          
W	W130X23.8	3040	891	31.3	12.7                         
W	W100X19.3	2470	470	16.1	10.6                         
                                                       
